Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100
125.684260322974,116.6020934619,103.990179934619,121.447079956965,120.776295337113,112.054173204976,110.621404667499,115.522015179662,120.523454738225,109.038790404501,109.484322745016,111.430003936085,121.482554910378,120.421801507688,122.386077462807,113.813354738513,115.568614006075,120.661223075219,117.819771968423,117.541937639873,121.834122080468,117.443240559389,121.052904009743,117.126466964304,116.493551405096,120.456279124027,115.663500130777,120.095183752842,121.096268202358,117.712761709099,105.564990175343,126.214945572895,109.871418400811,130.569480613709,123.077028692584,130.929697823001,122.428304704344,116.022884842047,123.478606078708,125.011405338849,109.534070177755,114.472407216648,115.368335981416,131.209235421905,134.216413313091,117.199046471515,127.338529732851,117.585419761223,119.184178363285,122.114185116724,117.303945601321,118.117944257518,106.280239876039,121.314237913628,109.515253638013,121.236511095669,115.22468702851,133.645143607945,111.992266725564,113.177699147052,112.532644375285,131.588947120559,130.117074068987,127.497477718108,119.059958970335,116.614093969908,116.912515169441,131.605371733748,129.573758688445,125.955690175347,122.380197860778,113.274443430157,115.745859176031,120.585193047866,123.80221175574,118.648865431422,122.012211801732,122.643530863932,131.916597460189,116.263114121808,134.467256303857,111.950252782461,125.128141872564,119.364885796134,107.873692898426,120.453337793306,116.559383499482,117.200662189785,116.920527376013,108.548794486728,120.877625442893,120.887392388879,109.307216885836,122.036112993754,102.132667581466,127.023206553223,107.521387328141,127.448822284156,129.932896750629,113.414960637072
126.374434739532,116.993067821672,104.628754172935,121.61421186929,121.305090251088,112.482207671847,110.867723117045,115.966945448392,121.017740573947,109.258726262019,109.721851861688,112.067141578331,121.911495203219,120.662829214758,123.047819457903,114.133016287779,116.00437756616,120.97676227803,118.105079151283,117.992089722,122.305643646276,117.583585449401,121.303034084013,117.385599504006,116.738559984756,120.784435145823,116.253198492016,120.47755141552,121.330362316278,117.845375394274,105.819677327011,126.433973458586,110.087453787784,130.740746736524,123.324566962571,131.122106820761,122.769908529416,116.393406426777,123.756539520093,125.129403233467,110.057381248526,115.604033153046,115.633066958808,131.342293893682,134.399264239556,117.432546260344,127.635094307853,117.79829415991,119.423746800002,122.280910859678,117.494995160453,118.29446807743,106.610938132079,121.552405305669,109.806242656127,121.350460172778,115.77451833215,133.807164817372,112.197359674399,113.838600068226,113.250130586337,132.031227505739,130.407778977785,127.765896957809,119.20516682072,116.769727437337,117.072981807113,131.766895931177,130.031257925917,126.479902686228,122.487530086091,113.671390623473,116.572225704218,120.724946485044,124.247967879488,118.895645209255,122.221539663081,123.507660663786,132.133783345416,116.852283330217,134.732392442424,112.28953930516,125.283180582734,119.732798675874,108.131368352149,120.673933946284,117.179968623222,117.413198578811,117.048109026192,108.989064421905,121.721504894691,121.407160304486,109.878102137347,122.768518185071,102.825762885347,127.149529078325,107.830147677172,128.157241075879,130.356633563186,113.597216422379
131.411962287354,120.591980555232,108.571819407493,123.087485592881,125.627786855994,116.245257468896,113.045542869534,119.567774500516,124.584402811021,111.27615350082,111.521300971948,118.10355214829,125.631658989241,122.842201682247,128.475116771999,116.186650352799,119.862833503899,123.967108527373,120.920283241411,120.8998447959,126.011085434362,119.03975275935,123.495586832559,119.084990489852,119.081946597754,123.618922081387,121.557466042829,122.775585143014,123.19141049134,119.145368028562,107.5976378541,128.169273292938,111.443104247523,132.351723934128,125.780021892351,132.965587327023,126.156434085991,118.976320620978,126.54528901925,126.127586765521,113.8376003761,124.205741127545,117.977352070893,132.754018424314,136.223378893463,119.339686662836,129.600201898309,119.945360837433,121.815766144508,123.783272147407,119.197807841836,120.161986457325,108.667834574732,123.918554124839,111.699543163988,122.553947044296,119.418086119085,135.492422525702,113.885437769495,118.682428915112,118.212604806453,136.209103638305,132.894434178206,130.343741006736,120.738633918342,118.373997417984,118.512990746145,132.951268955859,133.988119099238,131.434281529551,123.625808120541,117.209899886318,123.906409076824,122.064514735938,127.651598699287,120.797822611817,124.35409355717,128.957596365043,134.056577122221,121.071170251923,137.383039172332,114.28263997427,126.710149489136,122.763179523157,110.236248602442,122.440578549769,122.775262406112,119.517621007301,118.378445248932,112.873734764784,129.349684560604,125.693466217035,114.926397537951,129.099415973379,108.682099008379,128.470287054611,110.58101116729,133.691356885478,133.822772981149,115.297276740922
140.814208111674,128.767326302367,115.154719446571,126.288718920294,134.240970053836,124.301672199619,117.818512252347,126.818023402417,131.130210327267,115.862932091036,115.02658224164,132.123008047307,133.626138930698,127.676277153738,139.380977100655,119.764334008872,128.112361720442,131.04311694192,127.752067550533,125.976802504683,133.37303686587,122.887818733101,128.339918172654,122.014994135995,124.540999641042,129.629186247677,133.02335587775,126.690677919357,126.827801110158,122.3142765131,110.766287274894,131.609758532965,113.775420919308,136.089782165126,131.80531292351,137.431489327977,134.58076463617,123.722029032575,133.621305572959,128.264559553036,120.839701103183,139.803564468024,123.102571817306,136.565675713188,140.789188111223,123.182424735087,133.086088813731,125.397018488898,127.829313651636,127.092668271292,122.939297534809,125.20488966443,112.278691387186,129.786713111196,114.982620089781,125.775189072672,125.328407592477,139.92895590485,117.28333746628,127.634131442098,126.978817160258,145.885391575348,138.172115655457,136.42427050885,124.868709044641,122.550572318569,121.741775453358,135.278125650561,142.521909136916,142.933976386673,126.695150798072,124.993432329705,139.637017853101,125.2394833525,134.033168861536,124.549231913422,129.828378232649,137.878466834134,138.274123742647,129.020401479026,144.036422204041,117.462076637761,130.01781400749,129.005445847828,114.462783831432,125.924674779393,135.107873035196,124.685044919265,121.862939169066,121.139313443897,146.157122619395,134.461736414799,125.849150093201,142.089238201201,120.617477005965,131.95415804185,116.593010249205,144.069319309447,140.916888277006,119.188636544242
152.624103384401,140.22920640716,123.044761633525,130.649532260542,144.999282579245,134.935101689787,124.427498492206,136.197160432589,139.152603481714,122.353976037845,119.628295298643,151.909009175453,144.518767335752,134.258102824359,153.2599677,124.21031852696,138.861319842209,141.456759377414,137.712391303509,132.294425242502,143.013627398217,129.153959882011,135.216867634416,125.550969472459,132.14632462013,137.631074899747,147.958367951415,131.530774827204,131.384194470955,127.004459609878,114.577417731709,136.049829175001,116.679689491239,141.426915987787,140.775886507859,144.234317395738,147.470119479335,129.785704582259,144.675632923439,131.231078209293,129.636212831337,157.619704292172,130.100515153843,142.925097596861,147.793295316363,128.133345849153,137.389427357224,133.93783729003,137.136659113011,131.602617745397,127.993527386269,133.635976459717,116.892619758866,138.660528969806,118.843981146618,131.046912741747,131.743444696785,147.132036811104,121.619260757733,138.560282342674,137.447165501726,159.505435408218,145.275716463407,145.143537122609,131.763648840312,129.261729397522,126.333877503808,138.462427711304,154.158374606197,159.176331080888,131.809857314057,135.701788821903,160.126148358921,129.866952971835,141.810698934422,129.476508182002,138.474290651595,147.981128997592,144.10121721273,139.293064554379,154.27406763011,121.091874760487,134.843403886803,137.344082834785,119.869437785941,130.274857966181,151.68433454401,132.44069508425,127.452268177902,131.867471597035,168.664212564578,145.972774762532,140.461261330878,158.083871180867,135.627150476833,137.603109793976,124.748467348035,156.308661492155,150.33551472357,124.647945164381
165.482369125404,153.302121049942,131.513530085294,135.59174484716,156.053830452062,146.352323312629,131.983699210833,146.404626624245,147.594934442114,129.859195187987,124.879193992398,174.22500447635,156.963449650558,141.51403453781,168.038441567139,129.140454243437,150.128503877425,153.982451571487,149.19742816822,139.295511174398,153.850424648836,137.321518287455,143.422814464406,129.343442565164,140.494696885036,146.509465967899,163.515984520926,136.803965911396,136.219960602717,132.531597144918,118.529385220772,140.921087309247,119.909475886533,147.627442741317,151.456436052945,152.752574399457,163.312089756836,136.522193585375,158.524190296218,134.723037943462,139.284112105883,174.704461320361,137.805917872881,151.4759953263,156.397487990222,133.528435038116,142.036356654667,144.728712153277,148.720591995448,136.65776064213,133.500976034881,144.989014477451,122.131920091926,149.34485399916,122.601223825116,137.931392369707,137.847204716971,156.554462032119,126.256263598069,149.855065283248,148.234067165571,174.839577200091,153.253114497106,155.17193507221,141.070307572147,137.974248701688,131.794613132702,142.273470569219,167.213854926928,177.506013837722,138.692909142502,147.890075559743,181.420111659069,135.340943935422,149.956204743227,135.029209243434,149.509421007315,158.01804024182,150.804054118377,150.831742993314,166.912197241975,124.790747452867,140.622955780438,146.844753537961,125.702391248564,134.777647599784,169.481014009068,141.80780799591,134.644074474538,143.173137948136,192.599048822098,158.734077542843,156.4278172202,173.812737059646,151.080294233915,144.937120672161,133.822634814181,168.396905814915,160.937585316757,130.857119784861
178.499134537933,166.630383656685,140.061080706112,140.71754629185,166.177790186263,157.259991581644,139.634905233093,156.53796147261,155.765928248633,137.613716690697,130.467898516415,196.348092013345,170.015959013595,148.632980643915,182.37901829554,134.312392010028,160.466856275583,167.4957436114,160.73777659642,146.609595686453,165.144481931307,146.700544119894,152.275674791958,133.196048013344,148.457385795526,155.525012598504,177.822287446507,142.135096047504,140.956454832985,138.22814726271,122.28766757327,145.836122668733,123.286187850115,154.095912421669,162.674728058694,162.327136564788,180.519003200127,143.375952131901,173.792384682862,138.50964984436,149.175618610078,189.59055012171,145.164890676545,161.643726529223,165.705390495474,138.958396560618,146.719259713938,156.795575647916,161.444892452901,141.802076407562,138.790488980485,158.44931571433,127.619182198849,160.598830896598,125.725216577509,145.827032101716,143.308256406868,167.457681512621,130.796089139087,160.384112705654,158.439011879004,190.01596611564,161.402480347913,165.381749597863,152.225672287615,148.005925474463,137.741720753157,146.510786175427,180.329556632363,195.640396242258,146.900135502143,160.49352248203,200.687244715611,141.100249532433,157.911816661781,140.791555927459,162.034412657596,167.333019648942,157.842505977477,162.85066574472,180.667845710063,128.366552277672,146.848535891636,156.88013391152,131.50063367839,138.952237919682,186.143055045726,151.849632076586,142.814101324344,153.86129459613,214.621315447177,171.725307900232,172.060061070197,187.360665274518,165.358039343919,153.149202372231,142.926164400868,179.335489551971,171.894590222852,137.177592007566
191.079508501162,179.258984021282,148.297086150794,145.779978974834,174.643553787873,166.842507538574,146.686521464444,165.994675392802,163.220132682669,145.037572672833,136.165693850819,216.391927633739,183.022985905734,155.094398260451,195.497522570538,139.559432429286,169.009147367791,181.100971421679,171.254665089764,153.969884419471,176.383387876282,156.611128892441,161.119826837337,136.991927180341,155.333913356935,164.225445383926,189.927591665528,147.244362166147,145.381027150615,143.562002216598,125.627654884169,150.535266540763,126.672812066896,160.425048367256,173.525330181037,172.368799814872,197.754790458442,149.923038689865,189.221522392939,142.418577483719,158.896382807454,201.59301791265,151.415343120482,172.793174717559,174.948792183206,144.182010409524,151.244839748239,169.236949448971,174.296766282958,146.761565406753,143.420861684655,173.108971298496,132.97603035379,171.397634555242,127.869683753821,154.127222261633,148.001703740365,179.100677345248,135.007885455532,169.369610647423,167.482821554832,203.733970314495,169.233576433629,174.999158665122,164.616565455154,158.661703781336,143.899318857324,151.004602175856,192.521327440393,211.960210886281,155.904825748012,172.80067578976,216.364490958604,146.722305013545,165.371812624113,146.447914975528,175.217002636767,175.596516308483,164.848407268855,174.761626256823,194.460900306809,131.726841022278,153.122550376664,167.024303738235,136.99742257203,142.493586366559,200.204321639878,161.834916201696,151.366688617947,163.312384185723,232.63725502635,184.258363703098,186.281451062147,197.835154382843,177.607686906188,161.321949266229,151.498858980667,188.720640485725,182.62044910594,143.192870348905
202.81340409354,190.566518886996,155.934601146358,150.631619650918,181.090179031234,174.649574678784,152.66059546601,174.392580390702,169.68675878183,151.726093129412,141.800241165458,233.270974226419,195.506798879741,160.605213552333,206.964252209749,144.760644322047,175.379698074245,194.131974665483,180.071195264538,161.177615631592,187.207633321372,166.463456007551,169.401929007872,140.658022010166,160.795197432083,172.339651657481,199.554785448719,151.932471991367,149.37837799168,148.160644223129,128.407096076639,154.849669953658,129.964786014137,166.361953690421,183.389579260509,182.395659801547,213.999957302239,155.879136872494,203.837591761701,146.320710348097,168.157229991708,210.498028997866,156.115534691274,184.319665187226,183.541799806384,149.059221221743,155.498240010293,181.309852898925,186.480475105557,151.385733626984,147.150968641898,188.105283343835,137.870906719163,181.004264438355,128.870810306278,162.296882619106,151.894949160953,190.831907559961,138.765966400478,176.325447995014,175.025546562815,215.237558653007,176.415614899948,183.571942275011,177.663788924649,169.320639702162,150.068499497503,155.614560881463,203.167871329702,225.535012180242,165.181135790155,184.354774248711,227.836561067792,151.933516519395,172.165928792592,151.76461330329,188.35834604791,182.665844723693,171.57567490883,186.132970212556,207.487869549069,134.831764212103,159.152961098407,176.977442519675,142.042555669055,145.225490062023,210.941874488094,171.254064551867,159.79754422335,171.275259562056,245.627792291497,195.86589089071,198.488349366035,205.01746231693,187.720482153614,168.688311551729,159.220907310469,196.457802312368,192.706000060941,148.661616052428
213.455628511793,200.171714164296,162.785958145165,155.186921391732,185.412402028323,180.493428053905,157.286545391593,181.514701508787,175.022600706174,157.423821835212,147.241655842936,246.521260559991,207.11219007099,165.032395264613,216.577477164071,149.82623496047,179.528697067031,206.105183008427,186.834668421694,168.084086656767,197.367552166831,175.787882986801,176.710418780208,144.147254662809,164.773372481778,179.708115268004,206.80828527911,156.066767443532,152.89064799613,151.798605610326,130.548070676946,158.677367256736,133.084540020992,171.763724623439,191.886818570653,192.027165812352,228.588676904524,161.0776431513,216.955199520315,150.120067399382,176.758700016609,216.363326965194,159.09429023447,195.687631192517,191.079622303616,153.511987854849,159.41719828832,192.455482379781,197.424344299975,155.600248521887,149.892552056271,202.726800515221,142.047635570089,188.952195323366,128.719471178101,169.904734798791,155.000575403267,202.112591487084,142.010265161166,181.034071728096,180.909095339474,224.175575847055,182.739329289089,190.88255236236,190.846380034602,179.479032896516,156.104623971798,160.227114724172,211.935641454971,235.978875836444,174.266759334106,194.874087531729,235.108739091269,156.57383665437,178.203485944515,156.577286066115,200.905928495399,188.508097595802,177.854554264112,196.64547486121,219.213259258241,137.669113787522,164.736168670365,186.524073828539,146.556327983037,147.067638920738,218.168103052639,179.782835898685,167.713785507998,177.711437809663,253.38792213524,206.268259321176,208.425801537649,209.084809650554,195.883807395979,174.735312880858,165.933006298109,202.604066757869,201.889313127663,153.461935440857
